topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,8576,57.1733333333,0.482726679971,0.279388052665,0.595540691193
ER,0,42,9607,64.0466666667,0.120307089193,0.214175188539,0.607101449275
WS,0,44,9600,64,0.0503082943377,0.442003446826,0.606807878112
BA,1,46,8576,57.1733333333,0.482149630938,0.279848453819,0.59552582683
ER,1,45,9538,63.5866666667,0.10413927696,0.211933477927,0.606332218506
WS,1,47,9600,64,0.0517122195021,0.433554348884,0.606863619472
BA,2,49,8576,57.1733333333,0.485416807589,0.279976091455,0.595548123374
ER,2,48,9420,62.8,0.115684466796,0.210507852418,0.605016722408
WS,2,50,9600,64,0.0531096791633,0.434558383468,0.606800445931
BA,3,52,8576,57.1733333333,0.4824097055,0.280777512423,0.595540691193
ER,3,51,9565,63.7666666667,0.102193833269,0.212272943783,0.606633221851
WS,3,53,9600,64,0.0535825881234,0.441035076266,0.60679301375
BA,4,55,8576,57.1733333333,0.486556184322,0.281819413568,0.595518394649
ER,4,54,9552,63.68,0.11444291519,0.213397045589,0.606488294314
WS,4,56,9600,64,0.0519320720188,0.436042456431,0.606882199926
BA,5,58,8576,57.1733333333,0.493105625625,0.281901608247,0.595536975102
ER,5,57,9533,63.5533333333,0.108102295108,0.213077207363,0.606276477146
WS,5,59,9600,64,0.0545310261457,0.440390882701,0.606774433296
BA,6,61,8576,57.1733333333,0.476019467669,0.280302135799,0.595510962467
ER,6,60,9579,63.86,0.116631210476,0.213287749997,0.606789297659
WS,6,62,9600,64,0.0537342515689,0.440088101369,0.606826458566
BA,7,64,8576,57.1733333333,0.480257224288,0.279411196084,0.595551839465
ER,7,63,9646,64.3066666667,0.110257913773,0.21376195614,0.607536231884
WS,7,65,9600,64,0.0527406439175,0.441342172993,0.606815310294
BA,8,67,8576,57.1733333333,0.487387523724,0.280950359068,0.595551839465
ER,8,66,9640,64.2666666667,0.101894998367,0.213696389718,0.607469342252
WS,8,68,9600,64,0.0529715922295,0.435568914008,0.606863619472
BA,9,70,8576,57.1733333333,0.493328919699,0.282454876529,0.595559271646
ER,9,69,9582,63.88,0.115296825827,0.213833388193,0.606822742475
WS,9,71,9600,64,0.0508713143628,0.44018206105,0.606833890747
BA,10,73,8576,57.1733333333,0.49697006192,0.285114980567,0.595518394649
ER,10,72,9608,64.0533333333,0.119480680984,0.214372878708,0.607112597547
WS,10,74,9600,64,0.0530943539057,0.439436006674,0.606767001115
BA,11,76,8576,57.1733333333,0.470603074954,0.277435409227,0.595548123374
ER,11,75,9709,64.7266666667,0.0984644256613,0.214176996391,0.608238573021
WS,11,77,9600,64,0.0478203288797,0.431393670458,0.606897064288
BA,12,79,8576,57.1733333333,0.474899904707,0.276791080557,0.595540691193
ER,12,78,9444,62.96,0.118360255883,0.211225315091,0.605284280936
WS,12,80,9600,64,0.0537493943764,0.436852821168,0.606778149387
BA,13,82,8576,57.1733333333,0.477930788109,0.27953144474,0.595551839465
ER,13,81,9595,63.9666666667,0.115852964452,0.213741604793,0.606967670011
WS,13,83,9600,64,0.0517751297681,0.436376138393,0.606841322928
BA,14,85,8576,57.1733333333,0.481794180317,0.279202025663,0.595529542921
ER,14,84,9441,62.94,0.114464224633,0.210859303937,0.60525083612
WS,14,86,9600,64,0.0518065562534,0.438091249223,0.60690449647
BA,15,88,8576,57.1733333333,0.489968823693,0.28190700522,0.595540691193
