topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,796,3.98,1.15754180605,0.0199486171981,0.294461421411
ER,0,42,777,3.885,0.502212572955,0.00999000999001,0.235553616183
WS,0,44,800,4,0.217226839962,0.241081928655,0.195351904744
BA,1,46,796,3.98,1.21098229518,0.0183813052152,0.29765914787
ER,1,45,773,3.865,0.513032443506,0.00999666777741,0.235711670048
WS,1,47,800,4,0.210653744329,0.253737214792,0.191975768245
BA,2,49,796,3.98,1.39372744828,0.0218156228008,0.30768119704
ER,2,48,768,3.84,0.499525056547,0.0102845389098,0.231414409039
WS,2,50,800,4,0.199217218131,0.249307479224,0.193709746499
BA,3,52,796,3.98,1.13926369628,0.024059222702,0.292770617019
ER,3,51,792,3.96,0.531108095015,0.0139362031589,0.24065460775
WS,3,53,800,4,0.212867329574,0.234577603143,0.195662191193
BA,4,55,796,3.98,1.27448123431,0.0179569034318,0.299775420695
ER,4,54,775,3.875,0.53881590608,0.0106451612903,0.236753649998
WS,4,56,800,4,0.212132034356,0.245283018868,0.19408792725
BA,5,58,796,3.98,1.26877207616,0.0228854389722,0.300761337868
ER,5,57,830,4.15,0.510166635174,0.0136713187126,0.248420341528
WS,5,59,800,4,0.194454364826,0.255850852836,0.193005480874
BA,6,61,796,3.98,1.1472704076,0.0201773158056,0.29408037952
ER,6,60,818,4.09,0.502675453839,0.0124518233027,0.247641862593
WS,6,62,800,4,0.205395959064,0.244970414201,0.191370973882
BA,7,64,796,3.98,1.25752702067,0.0207260904904,0.299847714524
ER,7,63,822,4.11,0.506462752692,0.00613496932515,0.244969855194
WS,7,65,800,4,0.209165006634,0.229133858268,0.197980145168
BA,8,67,796,3.98,1.27237431226,0.0215971203839,0.300987468672
ER,8,66,813,4.065,0.469070315003,0.00745573159366,0.24347777181
WS,8,68,800,4,0.204633819297,0.253354380426,0.190389916892
BA,9,70,796,3.98,1.12251678753,0.026869893149,0.293811970402
ER,9,69,795,3.975,0.500266927682,0.00475285171103,0.23994232108
WS,9,71,800,4,0.220085210771,0.247749510763,0.194087751847
BA,10,73,796,3.98,1.13579512007,0.0167208546215,0.291429168158
ER,10,72,751,3.755,0.486700359132,0.0164413591524,0.229896253531
WS,10,74,800,4,0.207665596573,0.249408983452,0.192169488476
BA,11,76,796,3.98,1.08345367779,0.0201937284518,0.287886114095
ER,11,75,800,4,0.48894018039,0.00758293838863,0.242030840991
WS,11,77,800,4,0.200779730053,0.259786476868,0.190496591859
BA,12,79,796,3.98,1.11617191844,0.0151922772591,0.292815968493
ER,12,78,786,3.93,0.507000249018,0.00678075556991,0.238914757131
WS,12,80,800,4,0.206155281281,0.246056782334,0.192405397965
BA,13,82,796,3.98,1.05451635708,0.0137404580153,0.287128535625
ER,13,81,822,4.11,0.485881437683,0.0116279069767,0.241205583403
WS,13,83,800,4,0.209910695297,0.25974025974,0.190056441157
BA,14,85,796,3.98,1.06405181143,0.0216479275046,0.285199755341
ER,14,84,744,3.72,0.530980327962,0.0128388017118,0.226898804551
WS,14,86,800,4,0.197642353761,0.261386138614,0.188281014586
BA,15,88,796,3.98,1.02676241386,0.0178571428571,0.285662787922
ER,15,87,857,4.285,0.469291475218,0.0140728476821,0.251119659267
WS,15,89,800,4,0.202330175703,0.258395890952,0.190855055659
BA,16,91,796,3.98,1.06003950179,0.0207349966285,0.287620807972
ER,16,90,770,3.85,0.530245601626,0.00297225891678,0.232697393285
WS,16,92,800,4,0.24302777619,0.22943221321,0.197967260775
BA,17,94,796,3.98,1.14423997442,0.0211656441718,0.293040726817
ER,17,93,756,3.78,0.514113128879,0.0136506825341,0.228500755858
WS,17,95,800,4,0.217944947177,0.229231974922,0.196959064328
BA,18,97,796,3.98,1.25790347543,0.0308733920108,0.299361946533
ER,18,96,850,4.25,0.452138325896,0.0145672664953,0.249147904483
WS,18,98,800,4,0.217226839962,0.243433947472,0.19427704588
BA,19,100,796,3.98,1.09878597687,0.0188801032758,0.290127073636
ER,19,99,797,3.985,0.499036790522,0.00851735015773,0.238592338982
WS,19,101,800,4,0.208416650007,0.236313509256,0.193893529368
BA,20,103,796,3.98,1.16704688611,0.0206370569762,0.293705961332
ER,20,102,750,3.75,0.503675380467,0.0140489913545,0.23118508573
WS,20,104,800,4,0.208416650007,0.258763292635,0.190385964913
BA,21,106,796,3.98,1.09720485253,0.015518913676,0.290945697577
ER,21,105,775,3.875,0.50235656937,0.00703281982585,0.230294476722
WS,21,107,800,4,0.220794021658,0.24765258216,0.193829014275
BA,22,109,796,3.98,1.20667382321,0.0210450966356,0.298017514023
ER,22,108,764,3.82,0.495145148379,0.00836236933798,0.230667944663
WS,22,110,800,4,0.209910695297,0.221959858323,0.197615510186
BA,23,112,796,3.98,1.04489388805,0.0174927113703,0.287587659625
ER,23,111,818,4.09,0.493069840429,0.011673151751,0.242289463739
WS,23,113,800,4,0.204633819297,0.259273875296,0.191038693867
BA,24,115,796,3.98,1.11433223044,0.023311132255,0.292455931495
ER,24,114,800,4,0.499687402283,0.00562675836199,0.247069344989
