topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,3136,15.68,0.814724592101,0.0870913620418,0.446041144528
ER,0,42,3133,15.665,0.26245122609,0.0387422454689,0.432857142857
WS,0,44,3200,16,0.105512143851,0.359048795553,0.395593149541
BA,1,46,3136,15.68,0.80011607277,0.0875045151969,0.444852756892
ER,1,45,3200,16,0.237705503197,0.0389051539504,0.435528404345
WS,1,47,3200,16,0.106158048447,0.363628877864,0.395026106935
BA,2,49,3136,15.68,0.798653256035,0.0904251883051,0.444569757728
ER,2,48,3118,15.59,0.256830372961,0.0397962955358,0.432252506266
WS,2,50,3200,16,0.106617013183,0.367173027047,0.393543233083
BA,3,52,3136,15.68,0.789909577264,0.0863421882739,0.444375522139
ER,3,51,3178,15.89,0.240077176805,0.0404331986224,0.434854845447
WS,3,53,3200,16,0.109864973945,0.37152906331,0.392664995823
BA,4,55,3136,15.68,0.739390612936,0.0821596566053,0.441458855472
ER,4,54,3124,15.62,0.247251727449,0.0385358434725,0.432491645781
WS,4,56,3200,16,0.108703294568,0.368974385351,0.393053467001
BA,5,58,3136,15.68,0.793326332689,0.091382624961,0.444065371763
ER,5,57,3150,15.75,0.235541864147,0.0418165193539,0.433246658313
WS,5,59,3200,16,0.0980274196335,0.388455827765,0.390334168756
BA,6,61,3136,15.68,0.784886113531,0.0867429155367,0.443917084378
ER,6,60,3175,15.875,0.242494118706,0.0391496652853,0.434335839599
WS,6,62,3200,16,0.100875077447,0.373137404423,0.392304720134
BA,7,64,3136,15.68,0.74271120262,0.0832410710625,0.44177213868
ER,7,63,3147,15.735,0.249962725455,0.0409380369959,0.433669590644
WS,7,65,3200,16,0.100681273085,0.354294194027,0.394866332499
BA,8,67,3136,15.68,0.825117090942,0.0903991749881,0.445503341688
ER,8,66,3253,16.265,0.241113164699,0.0409610680219,0.437775689223
WS,8,68,3200,16,0.102507621668,0.368371173101,0.393919172933
BA,9,70,3136,15.68,0.816818649496,0.0921186139719,0.445571219716
ER,9,69,3219,16.095,0.236147008568,0.0402097902098,0.436646825397
WS,9,71,3200,16,0.107710549623,0.360291393999,0.394914369257
BA,10,73,3136,15.68,0.767303409907,0.0854548121674,0.443618421053
ER,10,72,3189,15.945,0.236097106827,0.0394502317107,0.435348788639
WS,10,74,3200,16,0.103361471303,0.371269079449,0.392626357561
BA,11,76,3136,15.68,0.770675256107,0.0826134339863,0.443138053467
ER,11,75,3257,16.285,0.253435640998,0.0435984207558,0.438203842941
WS,11,77,3200,16,0.0977280985694,0.361133452948,0.395266290727
BA,12,79,3136,15.68,0.797034677981,0.0911949685535,0.444132205514
ER,12,78,3124,15.62,0.256686226855,0.0385984290623,0.432676482874
WS,12,80,3200,16,0.106433664787,0.366570605187,0.393181913117
BA,13,82,3136,15.68,0.778682003943,0.0896218952697,0.443529657477
ER,13,81,3226,16.13,0.234712218307,0.0369804164409,0.436885964913
WS,13,83,3200,16,0.108343348896,0.362893767618,0.395501253133
BA,14,85,3136,15.68,0.761196448573,0.0857395878059,0.442531328321
ER,14,84,3125,15.625,0.252653121888,0.0385907414994,0.432440476191
WS,14,86,3200,16,0.100875077447,0.368747552606,0.394036131997
BA,15,88,3136,15.68,0.771716878186,0.0878639423268,0.442635756057
ER,15,87,3282,16.41,0.243234516931,0.0424091365649,0.438859649123
WS,15,89,3200,16,0.107891728135,0.354658819656,0.395679824562
BA,16,91,3136,15.68,0.78673651367,0.0867768595041,0.444129072682
ER,16,90,3088,15.44,0.256147732209,0.0387267126302,0.430930451128
WS,16,92,3200,16,0.105512143851,0.364237183447,0.393878446116
BA,17,94,3136,15.68,0.813588060587,0.0893300248139,0.445539891395
ER,17,93,3063,15.315,0.252852619173,0.0388720488409,0.429769214704
WS,17,95,3200,16,0.104862260847,0.353911414039,0.396001461989
BA,18,97,3136,15.68,0.812687700582,0.0894883649841,0.445587928154
ER,18,96,3251,16.255,0.245731646259,0.0423415743109,0.437849832916
WS,18,98,3200,16,0.105419548709,0.36696246577,0.394141604011
BA,19,100,3136,15.68,0.781081041705,0.0892471986954,0.443209064328
ER,19,99,3225,16.125,0.234713525977,0.0379915961505,0.436548663325
WS,19,101,3200,16,0.105973905986,0.367596500257,0.394366123643
BA,20,103,3136,15.68,0.759457884358,0.0873410575553,0.441882832081
ER,20,102,3146,15.73,0.240672346489,0.0378604670067,0.433297827903
WS,20,104,3200,16,0.102793026271,0.363527739437,0.394217836258
BA,21,106,3136,15.68,0.77742739322,0.0833597338825,0.443842940685
ER,21,105,3251,16.255,0.238700344339,0.0408326204733,0.43789578112
WS,21,107,3200,16,0.101357967126,0.368709557763,0.393619465331
BA,22,109,3136,15.68,0.802273611837,0.0842622866411,0.445738304094
ER,22,108,3149,15.745,0.235637848374,0.0388533089357,0.433224728488
WS,22,110,3200,16,0.106617013183,0.349635667531,0.396514202173
BA,23,112,3136,15.68,0.785442985894,0.0870083276594,0.443629908104
ER,23,111,3130,15.65,0.236140926417,0.0393323179517,0.432510442774
WS,23,113,3200,16,0.0992156741649,0.365598713508,0.395027151212
BA,24,115,3136,15.68,0.809917844492,0.0906989219844,0.444475772766
ER,24,114,3189,15.945,0.23597212798,0.0395119922362,0.435104427736
WS,24,116,3200,16,0.109508846675,0.363352120788,0.395275689224
BA,25,118,3136,15.68,0.808233761549,0.0910463420251,0.444868421053
ER,25,117,3271,16.355,0.237469235179,0.0407940949984,0.438543233083
WS,25,119,3200,16,0.11066207006,0.349929051761,0.395721595656
BA,26,121,3136,15.68,0.837944678735,0.089482765041,0.446822263994
ER,26,120,3169,15.845,0.249437545959,0.0391683941955,0.434098788639
WS,26,122,3200,16,0.100681273085,0.359426204167,0.395818713451
BA,27,124,3136,15.68,0.775777637494,0.0851646172154,0.443524436091
ER,27,123,3234,16.17,0.246644726541,0.041289408702,0.437360066834
WS,27,125,3200,16,0.11154105186,0.342640376668,0.397805973267
BA,28,127,3136,15.68,0.762651113142,0.0866594316492,0.44291562239
ER,28,126,3275,16.375,0.240500420349,0.0386119165653,0.438604845447
WS,28,128,3200,16,0.107438208985,0.370315490523,0.39333166249
BA,29,130,3136,15.68,0.80284375459,0.0891150248935,0.444519632415
ER,29,129,3320,16.6,0.24481115393,0.0403484889736,0.440770676692
WS,29,131,3200,16,0.107074010619,0.36003457715,0.394940476191
BA,30,133,3136,15.68,0.777898109366,0.0889803673211,0.442893692565
ER,30,132,3147,15.735,0.242707456812,0.0370069793865,0.433463868004
WS,30,134,3200,16,0.110573787581,0.373997449924,0.393157268171
BA,31,136,3136,15.68,0.828351817716,0.085362949221,0.447007101086
ER,31,135,3240,16.2,0.22613159363,0.0418816914427,0.436950710109
WS,31,137,3200,16,0.107347275233,0.360506277012,0.395430242273
BA,32,139,3136,15.68,0.789793714236,0.0879948897783,0.443916040101
ER,32,138,3258,16.29,0.23744212794,0.0383471888197,0.438500417711
WS,32,140,3200,16,0.104301995427,0.345614432523,0.397163742691
BA,33,142,3136,15.68,0.821646904214,0.089508159479,0.446494360903
ER,33,141,3157,15.785,0.246246485385,0.040685741881,0.433721804512
WS,33,143,3200,16,0.107619845986,0.383141604758,0.391359649123
BA,34,145,3136,15.68,0.797939957001,0.0832374426272,0.445698621554
ER,34,144,3286,16.43,0.249692665077,0.0418354325029,0.438602756893
WS,34,146,3200,16,0.101454269255,0.386259195912,0.390313283209
BA,35,148,3136,15.68,0.788324641945,0.0910633853385,0.442827903091
ER,35,147,3238,16.19,0.246323002354,0.0407325363786,0.43750417711
WS,35,149,3200,16,0.0980274196335,0.3643281366,0.394721177945
BA,36,151,3136,15.68,0.771690525353,0.0876671225056,0.442454051796
ER,36,150,3166,15.83,0.246942814709,0.0391737322028,0.434007936508
WS,36,152,3200,16,0.105512143851,0.350401482397,0.39776942356
BA,37,154,3136,15.68,0.820842102722,0.0891269199677,0.4460286132
ER,37,153,3239,16.195,0.249080186266,0.0406510262812,0.437881161237
WS,37,155,3200,16,0.104395581803,0.355801309774,0.396299081037
BA,38,157,3136,15.68,0.815248610715,0.0905129703499,0.445359231412
ER,38,156,3238,16.19,0.251306264622,0.0409745504419,0.43696219716
WS,38,158,3200,16,0.105512143851,0.364298949969,0.394192773601
BA,39,160,3136,15.68,0.79461982392,0.0886942985017,0.444249164578
ER,39,159,3238,16.19,0.245002967179,0.0416188947489,0.437437343359
WS,39,161,3200,16,0.105697090783,0.378860248703,0.391977234754
BA,40,163,3136,15.68,0.78200478949,0.0882967401159,0.443343776107
ER,40,162,3153,15.765,0.234823728715,0.0381580281976,0.433695697578
WS,40,164,3200,16,0.101838567105,0.374296841194,0.392779866333
BA,41,166,3136,15.68,0.793697946901,0.0871800864789,0.444546783626
ER,41,165,3141,15.705,0.248066989321,0.0362018527548,0.433552631579
WS,41,167,3200,16,0.0969253901204,0.366514717106,0.395307017544
BA,42,169,3136,15.68,0.805473837324,0.0925339047204,0.444772347536
ER,42,168,3176,15.88,0.246201529838,0.0404245170522,0.435054302423
WS,42,170,3200,16,0.107801176942,0.346023253421,0.396491228071
BA,43,172,3136,15.68,0.782381781205,0.0869234002312,0.443622598162
ER,43,171,3184,15.92,0.244681566455,0.0393549663633,0.43543128655
WS,43,173,3200,16,0.111365810508,0.354189369795,0.395362364245
BA,44,175,3136,15.68,0.773375296327,0.0851326096465,0.443688387636
