topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,2336,15.5733333333,0.760831528401,0.106547856702,0.464778892605
ER,0,42,2353,15.6866666667,0.247295251854,0.0523156322151,0.456711259755
WS,0,44,2400,16,0.106800046816,0.371150996213,0.41632664437
BA,1,46,2336,15.5733333333,0.767092231973,0.107069431921,0.465966183575
ER,1,45,2389,15.9266666667,0.250270186612,0.0568567147701,0.458571163136
WS,1,47,2400,16,0.10692189517,0.369576552595,0.416300631735
BA,2,49,2336,15.5733333333,0.754555308227,0.111385053693,0.464201040505
ER,2,48,2350,15.6666666667,0.248490235245,0.0543004899292,0.45652173913
WS,2,50,2400,16,0.101678619516,0.369920597851,0.416482720178
BA,3,52,2336,15.5733333333,0.741454421431,0.105638102992,0.463905611297
ER,3,51,2368,15.7866666667,0.234013676316,0.0518860288166,0.457911557042
WS,3,53,2400,16,0.104582503317,0.373723228995,0.415719063545
BA,4,55,2336,15.5733333333,0.703092127471,0.100044207815,0.461997398737
ER,4,54,2310,15.4,0.263020413677,0.0555913226032,0.45389632107
WS,4,56,2400,16,0.103455908483,0.372991678339,0.416148272018
BA,5,58,2336,15.5733333333,0.748208075059,0.111488908085,0.463862876254
ER,5,57,2385,15.9,0.246569758288,0.0548596797209,0.45858974359
WS,5,59,2400,16,0.105697090783,0.397183562546,0.411900780379
BA,6,61,2336,15.5733333333,0.746737083068,0.10469546651,0.464739873653
ER,6,60,2346,15.64,0.262930030354,0.0516512119733,0.456062801932
WS,6,62,2400,16,0.107043604822,0.37714050494,0.415013006317
BA,7,64,2336,15.5733333333,0.683063323367,0.100966344552,0.459790040877
ER,7,63,2373,15.82,0.252060520779,0.0538439006205,0.45765328874
WS,7,65,2400,16,0.10582020916,0.349739225913,0.419535488666
BA,8,67,2336,15.5733333333,0.781575860921,0.110475242598,0.465505388332
ER,8,66,2416,16.1066666667,0.230822996783,0.0550672785253,0.460501672241
WS,8,68,2400,16,0.106555932105,0.364913821495,0.417519509476
BA,9,70,2336,15.5733333333,0.771202157592,0.113739224138,0.464799331104
ER,9,69,2411,16.0733333333,0.244792217292,0.0573401613904,0.460349312523
WS,9,71,2400,16,0.106311256851,0.358017236647,0.418953920476
BA,10,73,2336,15.5733333333,0.722432805604,0.103639449368,0.463623188406
ER,10,72,2376,15.84,0.241783313802,0.050053390283,0.458156819026
WS,10,74,2400,16,0.110514893416,0.371987167183,0.417147900409
BA,11,76,2336,15.5733333333,0.734750926138,0.101875826612,0.463916759569
ER,11,75,2452,16.3466666667,0.230954434627,0.0543150271575,0.462777777778
WS,11,77,2400,16,0.104333200213,0.365670822121,0.417891118543
BA,12,79,2336,15.5733333333,0.751013322926,0.112330926286,0.463311036789
ER,12,78,2297,15.3133333333,0.26393191029,0.0519701086957,0.45303604608
WS,12,80,2400,16,0.107407906289,0.367971901325,0.416449275362
BA,13,82,2336,15.5733333333,0.738240616832,0.109040282161,0.463911185433
ER,13,81,2426,16.1733333333,0.223929581129,0.0543865078137,0.460893719807
WS,13,83,2400,16,0.10582020916,0.368926708757,0.417439613527
BA,14,85,2336,15.5733333333,0.711467451311,0.105570170422,0.461380527685
ER,14,84,2359,15.7266666667,0.23982467555,0.051987850518,0.457348569305
WS,14,86,2400,16,0.104582503317,0.372652388797,0.416512448904
BA,15,88,2336,15.5733333333,0.730906185363,0.109222484012,0.462118171683
ER,15,87,2458,16.3866666667,0.229072212986,0.051234536986,0.463604607952
WS,15,89,2400,16,0.0986893273527,0.362484192005,0.417344853214
BA,16,91,2336,15.5733333333,0.735162337759,0.106023647705,0.463298030472
ER,16,90,2278,15.1866666667,0.253192296764,0.0522079050239,0.451389817912
WS,16,92,2400,16,0.107529065838,0.369608165953,0.415806391676
BA,17,94,2336,15.5733333333,0.765693421878,0.106732644658,0.465471943516
ER,17,93,2280,15.2,0.241128368551,0.0531243639324,0.451952805648
WS,17,95,2400,16,0.10837339003,0.370607116403,0.417227796358
BA,18,97,2336,15.5733333333,0.751872964317,0.10877327913,0.463966926793
ER,18,96,2397,15.98,0.243864585549,0.0481602723583,0.460328874025
WS,18,98,2400,16,0.108733236256,0.371893345038,0.416451133408
BA,19,100,2336,15.5733333333,0.744377449591,0.108927879559,0.463532144184
ER,19,99,2422,16.1466666667,0.226978430039,0.0492248062016,0.461594202899
WS,19,101,2400,16,0.107165176247,0.371367415823,0.417372723894
BA,20,103,2336,15.5733333333,0.718292579037,0.107132713536,0.461707543664
ER,20,102,2306,15.3733333333,0.236156504765,0.0508228460794,0.454039390561
WS,20,104,2400,16,0.106800046816,0.373950271694,0.416486436269
BA,21,106,2336,15.5733333333,0.732746675828,0.101407346573,0.463777406169
ER,21,105,2440,16.2666666667,0.226339365106,0.0535332450871,0.46218320327
WS,21,107,2400,16,0.0994778032193,0.379246838922,0.416008918618
BA,22,109,2336,15.5733333333,0.746884312637,0.103796676298,0.464784466741
ER,22,108,2367,15.78,0.235171777187,0.0536842105263,0.457248234857
WS,22,110,2400,16,0.103455908483,0.358737744088,0.417549238201
BA,23,112,2336,15.5733333333,0.749896148671,0.10607144823,0.464258639911
ER,23,111,2366,15.7733333333,0.231918989642,0.050160980493,0.458049052397
WS,23,113,2400,16,0.107529065838,0.370431346724,0.41712746191
BA,24,115,2336,15.5733333333,0.783735841576,0.111351504726,0.465730211817
ER,24,114,2392,15.9466666667,0.230326510525,0.0547172808132,0.459123002601
WS,24,116,2400,16,0.104706932276,0.36877076412,0.416900780379
BA,25,118,2336,15.5733333333,0.775804227801,0.111550081339,0.465589000372
ER,25,117,2476,16.5066666667,0.245461012264,0.0584477568103,0.463900037161
WS,25,119,2400,16,0.114904851943,0.3597666201,0.419128576737
BA,26,121,2336,15.5733333333,0.783577996105,0.110464703796,0.465369751022
ER,26,120,2395,15.9666666667,0.248679726433,0.0533106516619,0.459223337049
WS,26,122,2400,16,0.105203176441,0.361894303363,0.417974730583
BA,27,124,2336,15.5733333333,0.72497763504,0.104337521631,0.462686733556
ER,27,123,2460,16.4,0.250618904745,0.0509179078628,0.463532144184
WS,27,125,2400,16,0.111803398875,0.353289473684,0.418957636566
BA,28,127,2336,15.5733333333,0.725413536447,0.106604997462,0.463264585656
ER,28,126,2424,16.16,0.237909361511,0.0516617477223,0.461464139725
WS,28,128,2400,16,0.102444090443,0.375958025437,0.415024154589
BA,29,130,2336,15.5733333333,0.770685157114,0.109863254928,0.46524712003
ER,29,129,2454,16.36,0.233106644101,0.0536426332288,0.463262727611
WS,29,131,2400,16,0.105943184459,0.364634514562,0.417742474916
BA,30,133,2336,15.5733333333,0.725981710164,0.108687073679,0.461828316611
ER,30,132,2347,15.6466666667,0.253628243285,0.0543034460232,0.456780007432
WS,30,134,2400,16,0.115357234999,0.372134425242,0.415551839465
BA,31,136,2336,15.5733333333,0.792420955226,0.103415543094,0.468010033445
ER,31,135,2446,16.3066666667,0.231299945335,0.0535199878708,0.462142326273
WS,31,137,2400,16,0.102697979532,0.365801400906,0.41767744333
BA,32,139,2336,15.5733333333,0.745521329698,0.107421263107,0.463959494612
ER,32,138,2464,16.4266666667,0.246466051682,0.0586360266864,0.462987736901
WS,32,140,2400,16,0.106311256851,0.35521765384,0.418955778521
BA,33,142,2336,15.5733333333,0.786728888359,0.109476661952,0.467361575623
ER,33,141,2413,16.0866666667,0.239086229482,0.0524298992828,0.460154217763
WS,33,143,2400,16,0.119133153796,0.385004788617,0.414754738016
BA,34,145,2336,15.5733333333,0.764148176092,0.102286293094,0.467073578595
