topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,996,3.984,1.19356946628,0.0170434782609,0.285904303846
ER,0,42,951,3.804,0.514709262405,0.00662068965517,0.221466550706
WS,0,44,1000,4,0.202484567313,0.245575221239,0.183094358414
BA,1,46,996,3.984,1.22421387745,0.0151362260343,0.28745336387
ER,1,45,975,3.9,0.491746474986,0.0080064051241,0.226297483856
WS,1,47,1000,4,0.201246117975,0.260910815939,0.179157963546
BA,2,49,996,3.984,1.44617840982,0.0191642267767,0.298648496994
ER,2,48,968,3.872,0.491627010734,0.00488334237656,0.223055682794
WS,2,50,1000,4,0.213307290077,0.252671275927,0.182071222098
BA,3,52,996,3.984,1.18743057528,0.0217112174624,0.284525431816
ER,3,51,1003,4.012,0.518531896949,0.00731172312942,0.229905957947
WS,3,53,1000,4,0.211541958013,0.232148474363,0.18574549156
BA,4,55,996,3.984,1.30646912818,0.0141611082606,0.290338276553
ER,4,54,970,3.88,0.512465506047,0.00951877313591,0.222499545122
WS,4,56,1000,4,0.209761769634,0.250314861461,0.182961885676
BA,5,58,996,3.984,1.23996349771,0.0198390829935,0.287288825269
ER,5,57,1004,4.016,0.476356010739,0.00836926198326,0.230457355981
WS,5,59,1000,4,0.213892496362,0.255419415646,0.181730256472
BA,6,61,996,3.984,1.17140495195,0.0167518118094,0.285195991984
ER,6,60,1028,4.112,0.500964262706,0.00985915492958,0.238175290263
WS,6,62,1000,4,0.212132034356,0.246226415094,0.182827038203
BA,7,64,996,3.984,1.27463941956,0.0178362883533,0.290017005439
ER,7,63,1040,4.16,0.506658694334,0.00614055037526,0.235404396093
WS,7,65,1000,4,0.216217483104,0.228741763414,0.187851076178
BA,8,67,996,3.984,1.3071440882,0.0193806398687,0.290063651111
ER,8,66,1013,4.052,0.479138076557,0.00892414476946,0.232003998473
WS,8,68,1000,4,0.214476105895,0.236494974874,0.184510954376
BA,9,70,996,3.984,1.18019259053,0.0204729968232,0.286325851703
ER,9,69,1015,4.06,0.503837586743,0.00867052023121,0.229759872125
WS,9,71,1000,4,0.206155281281,0.243217665615,0.183953165494
BA,10,73,996,3.984,1.18157975083,0.015155075188,0.283503769443
ER,10,72,952,3.808,0.508880601064,0.0107973421927,0.215738788688
WS,10,74,1000,4,0.201866292382,0.261776794183,0.177024462289
BA,11,76,996,3.984,1.09892023526,0.0170015455951,0.278321729172
ER,11,75,993,3.972,0.492529499245,0.00614124872057,0.228974730413
WS,11,77,1000,4,0.209165006634,0.253228346457,0.183420606292
BA,12,79,996,3.984,1.14430702062,0.0124877571009,0.283491382765
ER,12,78,992,3.968,0.496348693193,0.00766479305059,0.224983236314
WS,12,80,1000,4,0.198746069144,0.241291956935,0.182602433727
BA,13,82,996,3.984,1.10315462644,0.0107678502756,0.278834239908
ER,13,81,1028,4.112,0.471028106567,0.00580130529369,0.235695323981
WS,13,83,1000,4,0.206155281281,0.267823343849,0.178295485921
BA,14,85,996,3.984,1.09547492967,0.0170674941815,0.278197900563
ER,14,84,937,3.748,0.516294030035,0.00598120193677,0.22347007348
WS,14,86,1000,4,0.207364413533,0.262925598991,0.18059323293
BA,15,88,996,3.984,1.06550374049,0.0140430654006,0.277738810955
ER,15,87,1052,4.208,0.478644024978,0.00751879699248,0.238854639437
WS,15,89,1000,4,0.217944947177,0.228526645768,0.186460925603
BA,16,91,996,3.984,1.10612044711,0.0168646991184,0.280336406145
ER,16,90,956,3.824,0.490142853469,0.00922302962549,0.219878862486
WS,16,92,1000,4,0.212132034356,0.239622641509,0.184459780745
BA,17,94,996,3.984,1.19399167463,0.0173832425542,0.285467506441
ER,17,93,947,3.788,0.519134940676,0.00582201275298,0.221410780869
WS,17,95,1000,4,0.217370651193,0.234242709313,0.185255022888
BA,18,97,996,3.984,1.29669131422,0.0239527167151,0.290449527626
ER,18,96,1044,4.176,0.48964445452,0.00550332492548,0.237596710882
WS,18,98,1000,4,0.2,0.243987341772,0.184605928162
BA,19,100,996,3.984,1.11202835884,0.0156111181622,0.279805019563
ER,19,99,1004,4.016,0.511989007621,0.00587515299878,0.231561869771
WS,19,101,1000,4,0.206760731281,0.240302743614,0.182736607703
BA,20,103,996,3.984,1.20062187184,0.0176023930051,0.285514839202
ER,20,102,934,3.736,0.512795435701,0.00950187158077,0.219076276362
WS,20,104,1000,4,0.220794021658,0.247887323944,0.182451439676
BA,21,106,996,3.984,1.14925153919,0.012784609765,0.2835108121
ER,21,105,980,3.92,0.508773504584,0.0101141078838,0.223231427935
WS,21,107,1000,4,0.213892496362,0.250706880302,0.1832543919
BA,22,109,996,3.984,1.24260282847,0.0178041543027,0.288200286287
ER,22,108,961,3.844,0.50280608464,0.00899918189256,0.22080722079
WS,22,110,1000,4,0.219089023002,0.216165413534,0.189913976582
BA,23,112,996,3.984,1.09846148553,0.0143041237113,0.28066229602
ER,23,111,996,3.984,0.512671877828,0.0112079701121,0.231081229125
WS,23,113,1000,4,0.21035683968,0.253068932956,0.180645033501
BA,24,115,996,3.984,1.15351964476,0.0178138633059,0.282873537551
