topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,30,133,2176,43.52,0.36651768169,0.516680127322,0.719797979798
ER,30,132,3160,63.2,0.0681666431283,0.637401255823,0.819191919192
WS,30,134,3200,64,0.0476498458812,0.660188553188,0.823232323232
BA,31,136,2176,43.52,0.361951516882,0.515314971886,0.719797979798
ER,31,135,3228,64.56,0.0644376727499,0.649980343336,0.826060606061
WS,31,137,3200,64,0.0452316088317,0.661081383434,0.823232323232
BA,32,139,2176,43.52,0.381758698467,0.522915588996,0.719797979798
ER,32,138,3243,64.86,0.0721191640784,0.655515101445,0.827575757576
WS,32,140,3200,64,0.0493116682439,0.657468159012,0.823232323232
BA,33,142,2176,43.52,0.362374298655,0.517945102373,0.719797979798
ER,33,141,3178,63.56,0.0777581364623,0.642976049431,0.82101010101
WS,33,143,3200,64,0.049509310993,0.658375473771,0.823232323232
BA,34,145,2176,43.52,0.37754484505,0.525400388599,0.719797979798
ER,34,144,3244,64.88,0.075768370991,0.655758389906,0.827676767677
WS,34,146,3200,64,0.0482607662859,0.658308466575,0.823232323232
BA,35,148,2176,43.52,0.393540160417,0.532577665827,0.719797979798
ER,35,147,3228,64.56,0.0793846903531,0.653074073177,0.826060606061
WS,35,149,3200,64,0.0506789835632,0.660271315912,0.823232323232
BA,36,151,2176,43.52,0.382835946161,0.526338543086,0.719797979798
ER,36,150,3171,63.42,0.0832323919708,0.643053876294,0.820303030303
WS,36,152,3200,64,0.0486135912066,0.656281546288,0.823232323232
BA,37,154,2176,43.52,0.370515008668,0.520772525681,0.719797979798
ER,37,153,3233,64.66,0.0658046173269,0.651742954169,0.826565656566
WS,37,155,3200,64,0.0538099229929,0.661847838451,0.823232323232
BA,38,157,2176,43.52,0.369401832467,0.520474935038,0.719797979798
ER,38,156,3221,64.42,0.0758310832452,0.652346582696,0.825353535354
WS,38,158,3200,64,0.0433576153922,0.657954798624,0.823232323232
BA,39,160,2176,43.52,0.390550382147,0.535141350684,0.719797979798
ER,39,159,3233,64.66,0.071484132313,0.653042086997,0.826565656566
WS,39,161,3200,64,0.0396518048139,0.659809233268,0.823232323232
BA,40,163,2176,43.52,0.370586252074,0.522936823053,0.719797979798
ER,40,162,3189,63.78,0.0709400317774,0.64308822287,0.822121212121
WS,40,164,3200,64,0.0516334738808,0.659775607729,0.823232323232
BA,41,166,2176,43.52,0.364017005359,0.516303106441,0.719797979798
ER,41,165,3157,63.14,0.0727168145989,0.637098818638,0.818888888889
WS,41,167,3200,64,0.044688592644,0.660282462663,0.823232323232
BA,42,169,2176,43.52,0.377754557561,0.525043145317,0.719696969697
ER,42,168,3174,63.48,0.0755972990609,0.641472353269,0.820606060606
WS,42,170,3200,64,0.0472898310951,0.657924952241,0.823232323232
BA,43,172,2176,43.52,0.3702441587,0.520439789583,0.719797979798
ER,43,171,3187,63.74,0.0767825371773,0.643131991051,0.821919191919
WS,43,173,3200,64,0.0509672075947,0.655917915026,0.823232323232
BA,44,175,2176,43.52,0.378020026394,0.522459832541,0.719797979798
ER,44,174,3186,63.72,0.0789089947415,0.645143965389,0.821818181818
WS,44,176,3200,64,0.0493116682439,0.657379093311,0.823232323232
BA,45,178,2176,43.52,0.372377086289,0.520808291136,0.719797979798
ER,45,177,3185,63.7,0.0781310338344,0.644333077865,0.821717171717
WS,45,179,3200,64,0.0506789835632,0.657006025944,0.823232323232
BA,46,181,2176,43.52,0.361718046444,0.517909907162,0.719797979798
ER,46,180,3161,63.22,0.0667195350996,0.636072825927,0.819292929293
WS,46,182,3200,64,0.0514439926036,0.660604921293,0.823232323232
BA,47,184,2176,43.52,0.363625174966,0.519891475082,0.719797979798
ER,47,183,3232,64.64,0.0619399473501,0.65073176874,0.826464646465
WS,47,185,3200,64,0.049509310993,0.658197345895,0.823232323232
BA,48,187,2176,43.52,0.366157367946,0.517002471013,0.719797979798
ER,48,186,3182,63.64,0.0786146932181,0.644850726921,0.821414141414
WS,48,188,3200,64,0.053764532919,0.660426723115,0.823232323232
BA,49,190,2176,43.52,0.365030903189,0.518099332332,0.719797979798
ER,49,189,3180,63.6,0.0737151457216,0.640280365894,0.821212121212
WS,49,191,3200,64,0.0474444576584,0.660275857291,0.823232323232
BA,50,193,2176,43.52,0.376900999077,0.522542839888,0.719797979798
ER,50,192,3193,63.86,0.0719310549792,0.644481010274,0.822525252525
WS,50,194,3200,64,0.0527560719254,0.65899985161,0.823232323232
BA,51,196,2176,43.52,0.369758984638,0.521204880963,0.719797979798
ER,51,195,3226,64.52,0.0811441079336,0.652438847038,0.825858585859
WS,51,197,3200,64,0.0516807356517,0.658629611125,0.823232323232
BA,52,199,2176,43.52,0.369701863476,0.521224648468,0.719797979798
ER,52,198,3255,65.1,0.0704766190289,0.658718728839,0.828787878788
WS,52,200,3200,64,0.0555951464833,0.656465562,0.823232323232
BA,53,202,2176,43.52,0.373989975766,0.522430958031,0.719797979798
ER,53,201,3196,63.92,0.0753762421439,0.645572624386,0.822828282828
WS,53,203,3200,64,0.0508713143628,0.656221243754,0.823232323232
BA,54,205,2176,43.52,0.383524898088,0.529247649197,0.719797979798
ER,54,204,3281,65.62,0.0792376852463,0.66473262408,0.831414141414
WS,54,206,3200,64,0.0387802301437,0.659646967926,0.823232323232
BA,55,208,2176,43.52,0.373622736684,0.519864199049,0.719797979798
ER,55,207,3215,64.3,0.0682699971,0.648701784588,0.824747474747
WS,55,209,3200,64,0.0543516472841,0.660191389926,0.823232323232
BA,56,211,2176,43.52,0.37520212888,0.522006518351,0.719797979798
ER,56,210,3170,63.4,0.0761684319726,0.640078603235,0.820202020202
WS,56,212,3200,64,0.046875,0.660222717149,0.823232323232
BA,57,214,2176,43.52,0.365594569424,0.518791416701,0.719797979798
ER,57,213,3241,64.82,0.0746077258081,0.655482909476,0.827373737374
WS,57,215,3200,64,0.0479562789163,0.659693869976,0.823232323232
BA,58,217,2176,43.52,0.370072993427,0.51950366375,0.719797979798
ER,58,216,3225,64.5,0.0742407435275,0.651645672885,0.825757575758
WS,58,218,3200,64,0.0455543116785,0.662888256404,0.823232323232
BA,59,220,2176,43.52,0.375736485731,0.523943981189,0.719797979798
ER,59,219,3204,64.08,0.0692180588046,0.645933862486,0.823636363636
WS,59,221,3200,64,0.0436941607941,0.657459985841,0.823232323232
BA,60,223,2176,43.52,0.361367557964,0.518543235771,0.719797979798
ER,60,222,3264,65.28,0.076227066373,0.660745422842,0.829696969697
WS,60,224,3200,64,0.0438614651488,0.65958889868,0.823232323232
BA,61,226,2176,43.52,0.381177381017,0.5237714404,0.719797979798
ER,61,225,3166,63.32,0.0745406704592,0.639344014434,0.819797979798
WS,61,227,3200,64,0.0487139289629,0.658976871233,0.823232323232
BA,62,229,2176,43.52,0.375483464121,0.522616292798,0.719797979798
ER,62,228,3203,64.06,0.0716656892039,0.647075627355,0.823535353535
WS,62,230,3200,64,0.0432448515722,0.658911888624,0.823232323232
BA,63,232,2176,43.52,0.396107716738,0.527965580824,0.719797979798
ER,63,231,3203,64.06,0.0702577435987,0.647191542607,0.823535353535
WS,63,233,3200,64,0.0483618360642,0.657841735163,0.823232323232
BA,64,235,2176,43.52,0.366315949657,0.520312455455,0.719730639731
ER,64,234,3230,64.6,0.0756457691819,0.652931440021,0.826262626263
WS,64,236,3200,64,0.0479053428649,0.659266590785,0.823232323232
BA,65,238,2176,43.52,0.376676794687,0.525877689694,0.719797979798
ER,65,237,3161,63.22,0.0777031397099,0.638404317681,0.819292929293
WS,65,239,3200,64,0.0522445421791,0.659688660906,0.823232323232
BA,66,241,2176,43.52,0.368758086864,0.525137332663,0.719797979798
ER,66,240,3174,63.48,0.0685745719605,0.639690051641,0.820606060606
WS,66,242,3200,64,0.0475985819116,0.658721989073,0.823232323232
BA,67,244,2176,43.52,0.355490063741,0.512139801514,0.719797979798
ER,67,243,3210,64.2,0.0797288716017,0.649934862035,0.824242424242
WS,67,245,3200,64,0.0473414293986,0.661009903048,0.823232323232
BA,68,247,2176,43.52,0.363203849258,0.518435286052,0.719797979798
ER,68,246,3199,63.98,0.0653837499727,0.644216893668,0.823131313131
WS,68,248,3200,64,0.0445243964024,0.658836866232,0.823232323232
BA,69,250,2176,43.52,0.390793648715,0.533088441478,0.719797979798
ER,69,249,3238,64.76,0.0779800818252,0.655716555144,0.827070707071
WS,69,251,3200,64,0.0493116682439,0.658551791705,0.823232323232
BA,70,253,2176,43.52,0.363799373908,0.517804620349,0.719797979798
ER,70,252,3219,64.38,0.0764357699679,0.650632701687,0.825151515152
WS,70,254,3200,64,0.0455543116785,0.65720084148,0.823232323232
BA,71,256,2176,43.52,0.362549098624,0.514770746206,0.719797979798
