topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,1536,15.36,0.695032032229,0.141687092724,0.496072026801
ER,0,42,1570,15.7,0.244124431806,0.0788251588724,0.49513400335
WS,0,44,1600,16,0.099018621986,0.378664797328,0.454066164154
BA,1,46,1536,15.36,0.690627258512,0.13932752927,0.496273031826
ER,1,45,1610,16.1,0.239190925639,0.0773435682717,0.498701842546
WS,1,47,1600,16,0.103832798286,0.391127039051,0.453530150754
BA,2,49,1536,15.36,0.692221104495,0.147653018404,0.495561139028
ER,2,48,1556,15.56,0.221012424752,0.0703498615656,0.494087102178
WS,2,50,1600,16,0.104020731107,0.366272603699,0.456293969849
BA,3,52,1536,15.36,0.678647781959,0.14041855238,0.495050251256
ER,3,51,1604,16.04,0.251691252607,0.0816572182962,0.498278894472
WS,3,53,1600,16,0.11197795542,0.37436783027,0.454845058627
BA,4,55,1536,15.36,0.639249985233,0.132784402801,0.49338358459
ER,4,54,1545,15.45,0.24085585225,0.0787009700548,0.492889447236
WS,4,56,1600,16,0.108072602911,0.367299065805,0.456478224456
BA,5,58,1536,15.36,0.692771966062,0.146674655482,0.495912897822
ER,5,57,1604,16.04,0.249597782175,0.0791775177829,0.498128140704
WS,5,59,1600,16,0.0939581023648,0.39676380748,0.45135678392
BA,6,61,1536,15.36,0.676614922109,0.138231176578,0.496222780569
ER,6,60,1639,16.39,0.21894930482,0.0830567290284,0.501130653266
WS,6,62,1600,16,0.0960143218484,0.379146723882,0.45378559464
BA,7,64,1536,15.36,0.635159132835,0.134631828979,0.491993299832
ER,7,63,1626,16.26,0.220824036645,0.083212014405,0.500385259631
WS,7,65,1600,16,0.112673477358,0.354696813977,0.458421273032
BA,8,67,1536,15.36,0.724795070639,0.14699137906,0.497357621441
ER,8,66,1634,16.34,0.239104536964,0.0771660649819,0.501147403685
WS,8,68,1600,16,0.10212584149,0.369514155025,0.456352596315
BA,9,70,1536,15.36,0.726955585497,0.151455467053,0.497512562814
ER,9,69,1621,16.21,0.260534055332,0.086122773176,0.500343383585
WS,9,71,1600,16,0.102316909648,0.368386352398,0.456352596315
BA,10,73,1536,15.36,0.636425780418,0.134659791858,0.49350921273
ER,10,72,1527,15.27,0.264128965974,0.0790451381475,0.490711892797
