topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,7744,30.976,0.667701850079,0.122316989011,0.50530260521
ER,0,42,8024,32.096,0.175880708725,0.0653290922437,0.512149632598
WS,0,44,8000,32,0.0727259410389,0.385175292957,0.465202404809
BA,1,46,7744,30.976,0.712234368154,0.127709365523,0.50683767535
ER,1,45,7946,31.784,0.161954350947,0.0623681508076,0.511588510354
WS,1,47,8000,32,0.0745297759288,0.383638973306,0.466921843687
BA,2,49,7744,30.976,0.689407269599,0.123200171027,0.506233800935
ER,2,48,7845,31.38,0.169430475376,0.0624943968574,0.509862391449
WS,2,50,8000,32,0.074319832481,0.385539705069,0.466257849031
BA,3,52,7744,30.976,0.66901481177,0.123031290225,0.504999331997
ER,3,51,7985,31.94,0.175876904961,0.0642138500461,0.511584502338
WS,3,53,8000,32,0.0765975684993,0.381628203381,0.466889779559
BA,4,55,7744,30.976,0.674154524947,0.126153801058,0.504887107548
ER,4,54,7950,31.8,0.164823077538,0.0634613551135,0.511334669338
WS,4,56,8000,32,0.0732610913105,0.391484276629,0.465152304609
BA,5,58,7744,30.976,0.708287216915,0.127932840436,0.506825651302
ER,5,57,7944,31.776,0.162448367256,0.0646834908778,0.511211756847
WS,5,59,8000,32,0.0727259410389,0.394583604033,0.464686038744
BA,6,61,7744,30.976,0.697325575739,0.126794121189,0.505910487641
ER,6,60,7982,31.928,0.16742488392,0.0646979855203,0.51186506346
WS,6,62,8000,32,0.0703506840763,0.395912816378,0.464709418837
BA,7,64,7744,30.976,0.6577505076,0.123790613074,0.504375417501
ER,7,63,7987,31.948,0.16593974028,0.0650018882175,0.511906479626
WS,7,65,8000,32,0.0764699695959,0.390738165188,0.464721442885
BA,8,67,7744,30.976,0.695589724096,0.125420019644,0.506162992652
ER,8,66,8052,32.208,0.166786096928,0.0643517820047,0.513044756179
WS,8,68,8000,32,0.0794512429104,0.384037882187,0.466362057448
BA,9,70,7744,30.976,0.703992330887,0.126155564229,0.507066132264
ER,9,69,7989,31.956,0.157916860239,0.0620639087963,0.512109552438
WS,9,71,8000,32,0.0760858889677,0.387274432624,0.46563527054
BA,10,73,7744,30.976,0.691209915296,0.129278049034,0.50501269205
