topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,2944,29.44,0.508713597237,0.224780278267,0.569480737018
ER,0,42,3139,31.39,0.178735804722,0.159678106797,0.57770519263
WS,0,44,3200,32,0.0750650759342,0.405965302625,0.568676716918
BA,1,46,2944,29.44,0.554716100097,0.233158509742,0.569673366834
ER,1,45,3199,31.99,0.152276790229,0.161363412472,0.579782244556
WS,1,47,3200,32,0.07818747502,0.420311341735,0.566189279732
BA,2,49,2944,29.44,0.527552408528,0.224313623678,0.570226130653
ER,2,48,3119,31.19,0.171053445973,0.158459524374,0.577546063652
WS,2,50,3200,32,0.0760345316287,0.412397787398,0.567864321608
BA,3,52,2944,29.44,0.503206467444,0.223053920548,0.569112227806
ER,3,51,3176,31.76,0.168568251679,0.157667064439,0.579078726968
WS,3,53,3200,32,0.0723489806424,0.411185529799,0.568475711893
BA,4,55,2944,29.44,0.537819126617,0.22969383347,0.570335008375
ER,4,54,3128,31.28,0.174318064936,0.15809354175,0.577772194305
WS,4,56,3200,32,0.070156076002,0.406804140255,0.568299832496
BA,5,58,2944,29.44,0.567251773615,0.231499068234,0.570845896147
ER,5,57,3150,31.5,0.144400830674,0.155954515813,0.578174204355
WS,5,59,3200,32,0.0737526482575,0.428180478563,0.567185929648
BA,6,61,2944,29.44,0.552089138504,0.232956557265,0.570184254606
ER,6,60,3176,31.76,0.160277782725,0.157381462831,0.57877721943
WS,6,62,3200,32,0.074214638044,0.423399222164,0.566474036851
BA,7,64,2944,29.44,0.516188577553,0.226725082147,0.569631490787
ER,7,63,3147,31.47,0.155408824088,0.157782277348,0.578098827471
WS,7,65,3200,32,0.0757772228311,0.411662724977,0.567998324958
BA,8,67,2944,29.44,0.5330893946,0.227662009266,0.569815745394
ER,8,66,3249,32.49,0.155880979758,0.161991304016,0.580954773869
WS,8,68,3200,32,0.0754543529228,0.416884639668,0.567386934673
BA,9,70,2944,29.44,0.538483759116,0.231354320727,0.570301507538
ER,9,69,3219,32.19,0.150960346221,0.161499386933,0.580217755444
WS,9,71,3200,32,0.078125,0.410969196093,0.569078726968
BA,10,73,2944,29.44,0.553247789629,0.236558554636,0.5694639866
ER,10,72,3192,31.92,0.179622505748,0.161701835582,0.579204355109
WS,10,74,3200,32,0.0662912607362,0.417320622178,0.568015075377
BA,11,76,2944,29.44,0.540045630473,0.22903536535,0.569782244556
ER,11,75,3248,32.48,0.159741692153,0.160836295372,0.581005025126
WS,11,77,3200,32,0.068251030212,0.409502693701,0.568308207705
BA,12,79,2944,29.44,0.528513834611,0.22905027933,0.570033500838
ER,12,78,3123,31.23,0.171622375471,0.156227834829,0.577420435511
WS,12,80,3200,32,0.0738188238189,0.408538663566,0.568911222781
BA,13,82,2944,29.44,0.589934872005,0.237279504087,0.570929648241
ER,13,81,3228,32.28,0.161035640277,0.160454887436,0.580435510888
WS,13,83,3200,32,0.076546554462,0.404128256513,0.568886097152
BA,14,85,2944,29.44,0.552830537562,0.233486971039,0.570351758794
ER,14,84,3128,31.28,0.1670426247,0.15667138723,0.577654941374
WS,14,86,3200,32,0.0769917812172,0.414049114792,0.566884422111
BA,15,88,2944,29.44,0.537572360441,0.233052016107,0.569974874372
ER,15,87,3277,32.77,0.157317615059,0.166313876817,0.581716917923
WS,15,89,3200,32,0.0747391296444,0.400302690134,0.569824120603
BA,16,91,2944,29.44,0.530485835647,0.228167372685,0.569907872697
ER,16,90,3094,30.94,0.173680561773,0.15640376039,0.576206030151
WS,16,92,3200,32,0.0791803716207,0.404859678292,0.568601340033
BA,17,94,2944,29.44,0.538226579379,0.229889281941,0.56986599665
ER,17,93,3075,30.75,0.178617719655,0.156162035175,0.576021775544
WS,17,95,3200,32,0.0706415909716,0.409844450462,0.568592964824
BA,18,97,2944,29.44,0.511980428167,0.225071867426,0.569505862647
ER,18,96,3248,32.48,0.157229648114,0.162252634591,0.580871021776
WS,18,98,3200,32,0.0697372300138,0.415885975646,0.567671691792
BA,19,100,2944,29.44,0.555059186321,0.234284161913,0.570452261307
ER,19,99,3221,32.21,0.158991708281,0.16132816287,0.580159128978
WS,19,101,3200,32,0.069456596159,0.415932754228,0.567537688442
BA,20,103,2944,29.44,0.529920045207,0.229470878907,0.570184254606
ER,20,102,3152,31.52,0.16220463497,0.159361622459,0.578274706868
WS,20,104,3200,32,0.0744773455488,0.409971133029,0.567261306533
BA,21,106,2944,29.44,0.549124037957,0.234239318418,0.569949748744
ER,21,105,3247,32.47,0.163573266535,0.163193783094,0.580837520938
WS,21,107,3200,32,0.0766740259149,0.4190897978,0.567847571189
BA,22,109,2944,29.44,0.534936699726,0.22727565904,0.570100502513
ER,22,108,3151,31.51,0.16281473784,0.156516720833,0.578283082077
WS,22,110,3200,32,0.0799169490784,0.400725058586,0.56877721943
BA,23,112,2944,29.44,0.554528872689,0.237463647977,0.570083752094
ER,23,111,3132,31.32,0.153846247947,0.152954237079,0.57783919598
WS,23,113,3200,32,0.0722814594139,0.412362761317,0.568944723618
BA,24,115,2944,29.44,0.545223082302,0.231715559128,0.570284757119
ER,24,114,3192,31.92,0.161100692368,0.158257763393,0.57932160804
WS,24,116,3200,32,0.0752599661175,0.413650030066,0.568492462312
BA,25,118,2944,29.44,0.558344154227,0.232123669264,0.569782244556
ER,25,117,3265,32.65,0.159169190212,0.162960448141,0.581448911223
WS,25,119,3200,32,0.07806247498,0.40201755089,0.568752093802
BA,26,121,2944,29.44,0.578260693982,0.23676015225,0.570837520938
ER,26,120,3166,31.66,0.158949319075,0.161020863035,0.578835845896
WS,26,122,3200,32,0.0713294513157,0.406283531052,0.568986599665
BA,27,124,2944,29.44,0.530409706703,0.230596331548,0.570284757119
ER,27,123,3231,32.31,0.166769155797,0.163511617627,0.580460636516
WS,27,125,3200,32,0.0813701035393,0.396213380324,0.570092127303
BA,28,127,2944,29.44,0.549491613537,0.232444925703,0.570360134003
ER,28,126,3265,32.65,0.157837578497,0.166001528403,0.581423785595
WS,28,128,3200,32,0.0726184377414,0.423741728494,0.567177554439
BA,29,130,2944,29.44,0.546290701902,0.232323232323,0.569832495812
ER,29,129,3303,33.03,0.157749918993,0.166380978712,0.582445561139
WS,29,131,3200,32,0.0737526482575,0.405595597301,0.569748743719
BA,30,133,2944,29.44,0.51330831238,0.228792087384,0.568877721943
ER,30,132,3150,31.5,0.153829097646,0.157737520701,0.578400335008
WS,30,134,3200,32,0.075519037335,0.415076565381,0.567872696817
BA,31,136,2944,29.44,0.541879867598,0.23114758603,0.569413735343
ER,31,135,3240,32.4,0.160938368204,0.164051505433,0.580552763819
WS,31,137,3200,32,0.0807073223134,0.412388476674,0.56662479062
BA,32,139,2944,29.44,0.53630455711,0.229135988809,0.570083752094
ER,32,138,3253,32.53,0.135466055687,0.16167028677,0.581180904523
WS,32,140,3200,32,0.073087597272,0.401275226323,0.569547738693
BA,33,142,2944,29.44,0.535443321968,0.229553492485,0.570058626466
ER,33,141,3160,31.6,0.167063433086,0.159132716142,0.57851758794
WS,33,143,3200,32,0.0757127589974,0.420144908655,0.566700167504
BA,34,145,2944,29.44,0.549785497058,0.227718899249,0.570309882747
