topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,784,7.84,0.858716818967,0.0785245073269,0.414367671692
ER,0,42,777,7.77,0.360523496812,0.0327543424318,0.390305695143
WS,0,44,800,8,0.150519932235,0.321148825065,0.348040201005
BA,1,46,784,7.84,0.793838858508,0.0724339540927,0.408479899498
ER,1,45,774,7.74,0.370924809852,0.0407217348121,0.390835845896
WS,1,47,800,8,0.146308748884,0.34512811574,0.345057788945
BA,2,49,784,7.84,0.875137580663,0.0777557100298,0.413906197655
ER,2,48,770,7.7,0.369388640346,0.0346849865952,0.386846733668
WS,2,50,800,8,0.145773797371,0.330543933054,0.347970686767
BA,3,52,784,7.84,0.912987359369,0.0829677665459,0.416842546064
ER,3,51,792,7.92,0.354966439751,0.0373146228672,0.395030150754
WS,3,53,800,8,0.164886324478,0.325251125736,0.351228643216
BA,4,55,784,7.84,0.85225082955,0.0802889996947,0.412416247906
ER,4,54,775,7.75,0.369661092923,0.0446133509584,0.390077051926
WS,4,56,800,8,0.151554445662,0.323647120237,0.347585427136
BA,5,58,784,7.84,0.868887437479,0.0839748075577,0.41358877722
ER,5,57,830,8.3,0.335191029958,0.0421483974828,0.400917922948
WS,5,59,800,8,0.152069063257,0.341858037578,0.346435510888
BA,6,61,784,7.84,0.914411833047,0.0779851456865,0.416922110553
ER,6,60,818,8.18,0.363012761916,0.0430792005922,0.398701842546
WS,6,62,800,8,0.14086784587,0.332634887376,0.347391122278
BA,7,64,784,7.84,0.809767173875,0.0760140530182,0.411000837521
ER,7,63,822,8.22,0.336074825748,0.0429979098238,0.398590452261
WS,7,65,800,8,0.156624551077,0.323606044815,0.350677554439
BA,8,67,784,7.84,0.804728677556,0.075457561811,0.409556113903
ER,8,66,813,8.13,0.348835912167,0.0386305105287,0.397515912898
WS,8,68,800,8,0.144697961285,0.343215905127,0.342972361809
BA,9,70,784,7.84,0.879125456403,0.0753485612578,0.415682579565
ER,9,69,796,7.96,0.343551047942,0.0410305343511,0.393726130653
WS,9,71,800,8,0.156624551077,0.326211568525,0.350347571189
BA,10,73,784,7.84,0.79568121794,0.081370218284,0.408565326633
ER,10,72,752,7.52,0.329497556373,0.0386079390973,0.386235343384
WS,10,74,800,8,0.146841751556,0.34820494946,0.346002512563
BA,11,76,784,7.84,0.782589698896,0.081187684891,0.408278894473
ER,11,75,801,8.01,0.35421155669,0.0378504672897,0.394515075377
WS,11,77,800,8,0.145773797371,0.337343096234,0.348005025126
BA,12,79,784,7.84,0.854824062264,0.0761112238685,0.413228643216
ER,12,78,788,7.88,0.354776581438,0.0415927776882,0.39332998325
WS,12,80,800,8,0.145773797371,0.326359832636,0.350131490787
BA,13,82,784,7.84,0.834210977522,0.0827800829876,0.411386097153
ER,13,81,822,8.22,0.337612611936,0.0375838926174,0.398766331658
WS,13,83,800,8,0.154616460961,0.340517990614,0.347228643216
BA,14,85,784,7.84,0.801893291464,0.080193236715,0.40932160804
ER,14,84,744,7.44,0.371911298085,0.0415691920101,0.382924623116
WS,14,86,800,8,0.16201851746,0.358356449376,0.344567839196
BA,15,88,784,7.84,0.872251290409,0.0735132981373,0.414853433836
ER,15,87,853,8.53,0.321251314063,0.0485085029272,0.403640703518
WS,15,89,800,8,0.145236875483,0.348387096774,0.345561976549
BA,16,91,784,7.84,0.905112681989,0.0813618003462,0.415770519263
ER,16,90,770,7.7,0.33161416454,0.0423335054208,0.388585427136
WS,16,92,800,8,0.149478259289,0.307156538395,0.353619765494
BA,17,94,784,7.84,0.822426191004,0.075,0.410653266332
ER,17,93,757,7.57,0.360929130591,0.0393356643357,0.386185929648
WS,17,95,800,8,0.151554445662,0.303288672351,0.352762144054
BA,18,97,784,7.84,0.84938253904,0.0768602633459,0.412738693468
ER,18,96,849,8.49,0.311183749986,0.0403854329035,0.402798157454
WS,18,98,800,8,0.147372826532,0.335075797177,0.346354271357
BA,19,100,784,7.84,0.817664719492,0.0813978040541,0.410301507538
ER,19,99,797,7.97,0.328366188689,0.0283653846154,0.394738693467
WS,19,101,800,8,0.143614066163,0.327634333566,0.349529313233
