topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,4544,30.2933333333,0.576725771589,0.171839189688,0.539383128948
ER,0,42,4795,31.9666666667,0.179610965373,0.108342566643,0.548298030472
WS,0,44,4800,32,0.0788507952824,0.39883142466,0.520022296544
BA,1,46,4544,30.2933333333,0.624833917752,0.179388924865,0.540092902267
ER,1,45,4736,31.5733333333,0.171239341014,0.104631988202,0.547450761799
WS,1,47,4800,32,0.075519037335,0.402188727652,0.519851356373
BA,2,49,4544,30.2933333333,0.598442416826,0.173282823576,0.539884801189
ER,2,48,4664,31.0933333333,0.170701004171,0.106196526515,0.546072092159
WS,2,50,4800,32,0.0735980072194,0.390838857998,0.521850613155
BA,3,52,4544,30.2933333333,0.572192155264,0.172076081649,0.539111854329
ER,3,51,4752,31.68,0.177211293997,0.106930022123,0.547959866221
WS,3,53,4800,32,0.0720333400818,0.398630988589,0.520367892977
BA,4,55,4544,30.2933333333,0.599854973629,0.17752956636,0.539825343738
ER,4,54,4729,31.5266666667,0.173044396653,0.10681673106,0.547409884801
WS,4,56,4800,32,0.0737305765383,0.399111170515,0.520431066518
BA,5,58,4544,30.2933333333,0.619615065098,0.178525142909,0.54021924935
ER,5,57,4760,31.7333333333,0.162248267752,0.105671904011,0.547952434039
WS,5,59,4800,32,0.0740829349446,0.411098414226,0.519044964697
BA,6,61,4544,30.2933333333,0.622194936449,0.179390336806,0.540353028614
ER,6,60,4842,32.28,0.170078581485,0.10718750601,0.549271646228
WS,6,62,4800,32,0.0791803716207,0.405620880992,0.518992939428
BA,7,64,4544,30.2933333333,0.573979523555,0.174157649656,0.538937198068
ER,7,63,4757,31.7133333333,0.16878318539,0.105976688985,0.547918989223
WS,7,65,4800,32,0.0706646275256,0.393375544071,0.520048309179
BA,8,67,4544,30.2933333333,0.607879125041,0.174807309729,0.539992567819
ER,8,66,4856,32.3733333333,0.155966452158,0.108302971704,0.549773318469
WS,8,68,4800,32,0.0758201682712,0.394553823748,0.521241174285
BA,9,70,4544,30.2933333333,0.606718788918,0.177162912178,0.540170940171
ER,9,69,4829,32.1933333333,0.159568769998,0.107412462563,0.549260497956
WS,9,71,4800,32,0.0727527920426,0.390928595777,0.521861761427
BA,10,73,4544,30.2933333333,0.607018056781,0.181700484143,0.539208472687
ER,10,72,4736,31.5733333333,0.164567853428,0.105109341933,0.547469342252
WS,10,74,4800,32,0.0752599661175,0.394327520545,0.521534745448
BA,11,76,4544,30.2933333333,0.6129312501,0.176779946219,0.540022296544
ER,11,75,4894,32.6266666667,0.163186060759,0.109581030352,0.550464511334
WS,11,77,4800,32,0.0664873891551,0.388549562146,0.52215533259
BA,12,79,4544,30.2933333333,0.587341283187,0.176433456076,0.539409141583
ER,12,78,4698,31.32,0.171774827855,0.10425452192,0.546599777035
WS,12,80,4800,32,0.0771396190899,0.393730713227,0.521549609811
BA,13,82,4544,30.2933333333,0.654742387327,0.183995336224,0.541534745448
ER,13,81,4789,31.9266666667,0.166274958454,0.106206715463,0.54856187291
WS,13,83,4800,32,0.0783953655093,0.396396516722,0.519710144928
BA,14,85,4544,30.2933333333,0.613594620247,0.180257928461,0.540301003345
ER,14,84,4626,30.84,0.17022903665,0.103943055692,0.545399479747
WS,14,86,4800,32,0.0738188238189,0.402654423705,0.520230397622
BA,15,88,4544,30.2933333333,0.606802598798,0.178814324733,0.540044593088
ER,15,87,4752,31.68,0.175308127781,0.107420654443,0.547655146786
WS,15,89,4800,32,0.0778118724874,0.383410138249,0.523288740245
BA,16,91,4544,30.2933333333,0.611537018439,0.17485968752,0.540702341137
ER,16,90,4723,31.4866666667,0.17115721608,0.106130978462,0.547279821628
WS,16,92,4800,32,0.0726632501108,0.394683545996,0.520810107767
BA,17,94,4544,30.2933333333,0.609901423631,0.178587511461,0.54027499071
ER,17,93,4728,31.52,0.170602307814,0.10416722732,0.547108881457
WS,17,95,4800,32,0.0700632155033,0.394392660845,0.520152359718
BA,18,97,4544,30.2933333333,0.59318732213,0.173477650169,0.539546636938
ER,18,96,4818,32.12,0.171031618773,0.106860542654,0.548825715347
WS,18,98,4800,32,0.0688446318411,0.397791717939,0.52132292828
BA,19,100,4544,30.2933333333,0.624141756003,0.180900970375,0.540561129692
ER,19,99,4873,32.4866666667,0.170526561105,0.110308913046,0.550033444816
WS,19,101,4800,32,0.0749131441515,0.403168472959,0.520066889632
BA,20,103,4544,30.2933333333,0.596892654382,0.1781698801,0.539992567819
ER,20,102,4823,32.1533333333,0.153826173037,0.104721872117,0.549386845039
WS,20,104,4800,32,0.0738188238189,0.398945447984,0.519992567819
BA,21,106,4544,30.2933333333,0.609675069114,0.180366300366,0.540078037904
ER,21,105,4906,32.7066666667,0.172073846399,0.110920501048,0.550471943515
WS,21,107,4800,32,0.0711695452189,0.405480752517,0.519754738016
BA,22,109,4544,30.2933333333,0.594630688926,0.174655216992,0.539680416202
ER,22,108,4734,31.56,0.171004055519,0.104347826087,0.547309550353
WS,22,110,4800,32,0.0759059862593,0.391482112436,0.522073578595
BA,23,112,4544,30.2933333333,0.614753795537,0.182270932475,0.540081753995
ER,23,111,4731,31.54,0.168155402799,0.105572143318,0.547279821628
WS,23,113,4800,32,0.0746083524145,0.398436403729,0.520445930881
BA,24,115,4544,30.2933333333,0.610972489807,0.17847831625,0.540241545894
ER,24,114,4774,31.8266666667,0.168002438146,0.104882638407,0.548305462653
WS,24,116,4800,32,0.0767164693313,0.392294127077,0.521675956893
BA,25,118,4544,30.2933333333,0.622072328047,0.178412572367,0.540312151617
ER,25,117,4849,32.3266666667,0.173341915593,0.108535051369,0.549561501301
WS,25,119,4800,32,0.0789745475876,0.386303235887,0.52110367893
BA,26,121,4544,30.2933333333,0.656028194703,0.182463309263,0.541564474173
ER,26,120,4812,32.08,0.171551014699,0.109915639195,0.548814567075
WS,26,122,4800,32,0.0776443548066,0.394861279938,0.521263470829
BA,27,124,4544,30.2933333333,0.604535653808,0.177187377328,0.540509104422
ER,27,123,4804,32.0266666667,0.160631993725,0.107474742194,0.548911185433
WS,27,125,4800,32,0.0748696784419,0.377112273739,0.524425863991
BA,28,127,4544,30.2933333333,0.609788256875,0.178394304752,0.540078037904
ER,28,126,4868,32.4533333333,0.157363535444,0.107885904972,0.550115198811
WS,28,128,4800,32,0.0739069657294,0.404693963472,0.51994425864
BA,29,130,4544,30.2933333333,0.62079225452,0.180121187378,0.540464511334
ER,29,129,4941,32.94,0.161678770559,0.109563768742,0.551166852471
WS,29,131,4800,32,0.0717616860402,0.392871228884,0.520364176886
BA,30,133,4544,30.2933333333,0.578718851629,0.17464887758,0.538814567076
ER,30,132,4725,31.5,0.162215698934,0.103864783252,0.547435897436
WS,30,134,4800,32,0.0769283351568,0.404043845059,0.52005202527
BA,31,136,4544,30.2933333333,0.611857676218,0.177863108069,0.539892233371
ER,31,135,4787,31.9133333333,0.160306208925,0.106525001975,0.548747677443
WS,31,137,4800,32,0.0801203521793,0.392299680878,0.520891861762
BA,32,139,4544,30.2933333333,0.595045924547,0.175777705679,0.539591230026
ER,32,138,4851,32.34,0.159670943761,0.107517785041,0.54978075065
WS,32,140,4800,32,0.0812099260148,0.38664201371,0.521802303976
BA,33,142,4544,30.2933333333,0.605886047592,0.176300499344,0.540182088443
ER,33,141,4705,31.3666666667,0.178359436451,0.105346615166,0.546752136752
WS,33,143,4800,32,0.0761201079435,0.407562295411,0.518550724638
BA,34,145,4544,30.2933333333,0.601221922403,0.176145374208,0.539583797845
