topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,11776,58.88,0.530216616453,0.233535495972,0.5734732665
ER,0,42,12778,63.89,0.115100449863,0.160040715892,0.580062656642
WS,0,44,12800,64,0.0506910256172,0.415596687714,0.578945279866
BA,1,46,11776,58.88,0.523636725693,0.232975494256,0.57342940685
ER,1,45,12797,63.985,0.119730018055,0.161655601847,0.580171261487
WS,1,47,12800,64,0.0535256035405,0.413398751402,0.579045530493
BA,2,49,11776,58.88,0.530697851548,0.234094672451,0.573496240601
ER,2,48,12622,63.11,0.122694480625,0.160006231594,0.579078947368
WS,2,50,12800,64,0.053193889158,0.418462307009,0.578575605681
BA,3,52,11776,58.88,0.531559992313,0.234667143774,0.573479532164
ER,3,51,12690,63.45,0.114686317488,0.15885321655,0.579511278195
WS,3,53,12800,64,0.0520807291016,0.422207162308,0.578884711779
BA,4,55,11776,58.88,0.531607471226,0.235375695405,0.5734732665
ER,4,54,12729,63.645,0.116666283067,0.159326352768,0.579751461988
WS,4,56,12800,64,0.05,0.421733989075,0.57884085213
BA,5,58,11776,58.88,0.540261903327,0.23608619219,0.573489974937
ER,5,57,12700,63.5,0.117478626152,0.159575340423,0.579569757728
WS,5,59,12800,64,0.053033008589,0.42658624169,0.578796992481
BA,6,61,11776,58.88,0.52927327087,0.234014859065,0.5734732665
ER,6,60,12788,63.94,0.119555371875,0.16101003718,0.580123224728
WS,6,62,12800,64,0.049533960888,0.424815378335,0.578669590643
BA,7,64,11776,58.88,0.522972528754,0.233156036509,0.573421052632
ER,7,63,12808,64.04,0.118633083462,0.161040832275,0.580250626566
WS,7,65,12800,64,0.0516571101713,0.422285322773,0.578936925647
BA,8,67,11776,58.88,0.533415297836,0.23496013681,0.573492063492
ER,8,66,12868,64.34,0.104029148136,0.161479286279,0.580614035088
WS,8,68,12800,64,0.0521509977134,0.416405318638,0.578899331662
BA,9,70,11776,58.88,0.541280692056,0.236509626535,0.573498329156
ER,9,69,12767,63.835,0.111634736542,0.159776752247,0.579991645781
WS,9,71,12800,64,0.0534799721566,0.424013561787,0.57854845447
BA,10,73,11776,58.88,0.542486357065,0.238357677091,0.573496240601
ER,10,72,12794,63.97,0.115413910179,0.160357116614,0.580160818713
WS,10,74,12800,64,0.049459974348,0.423263615717,0.578794903926
BA,11,76,11776,58.88,0.522354426587,0.2319185929,0.573515037594
ER,11,75,12905,64.525,0.111136444293,0.162534710719,0.58085839599
WS,11,77,12800,64,0.05049800816,0.418402724094,0.578669590643
BA,12,79,11776,58.88,0.522354426587,0.231353584816,0.5734732665
ER,12,78,12556,62.78,0.118694126698,0.157462681825,0.578661236424
WS,12,80,12800,64,0.0531709360224,0.415892600122,0.578759398496
BA,13,82,11776,58.88,0.526089156239,0.233749552089,0.573467000835
ER,13,81,12801,64.005,0.110338593484,0.160276398588,0.580206766917
WS,13,83,12800,64,0.0516571101713,0.423368695476,0.578677944862
BA,14,85,11776,58.88,0.528897097638,0.233362229357,0.573467000835
ER,14,84,12663,63.315,0.117430375677,0.158505082166,0.579335839599
WS,14,86,12800,64,0.051845812572,0.415287125186,0.578888888889
BA,15,88,11776,58.88,0.535408305007,0.235513279825,0.573494152047
