topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,6144,30.72,0.629907289172,0.141745310497,0.519966583124
ER,0,42,6404,32.02,0.173377274416,0.0819662526365,0.527921888053
WS,0,44,6400,32,0.0688564516767,0.383766947048,0.489496658312
BA,1,46,6144,30.72,0.666659673018,0.148241545459,0.520628654971
ER,1,45,6318,31.59,0.175215605422,0.0816971338298,0.52704887218
WS,1,47,6400,32,0.0767694906034,0.390226795653,0.489239766082
BA,2,49,6144,30.72,0.65423338726,0.142866363436,0.521259398496
ER,2,48,6307,31.535,0.160033606673,0.0780056455448,0.527000835422
WS,2,50,6400,32,0.08143008888,0.387634037185,0.488314536341
BA,3,52,6144,30.72,0.631956256388,0.142849390258,0.519795321637
ER,3,51,6353,31.765,0.176504717905,0.079752350833,0.527681704261
WS,3,53,6400,32,0.0795188165625,0.394231202584,0.488721804511
BA,4,55,6144,30.72,0.644939337087,0.146939760328,0.519897660819
ER,4,54,6347,31.735,0.164883210363,0.0799846423104,0.527393483709
WS,4,56,6400,32,0.0727192267389,0.391221307079,0.488757309942
BA,5,58,6144,30.72,0.670420094085,0.148366132826,0.520989974937
ER,5,57,6374,31.87,0.161884945235,0.07774297463,0.528287385129
WS,5,59,6400,32,0.0707796978307,0.396131898549,0.489112364244
BA,6,61,6144,30.72,0.662510153255,0.147364971011,0.520440685046
ER,6,60,6438,32.19,0.165141661448,0.0801828987711,0.529020467836
WS,6,62,6400,32,0.0698421769957,0.401767310769,0.487228487886
BA,7,64,6144,30.72,0.625751128777,0.143739888111,0.519626148705
ER,7,63,6417,32.085,0.176329793584,0.0794903678949,0.528692564745
WS,7,65,6400,32,0.0725848103084,0.396808686629,0.487487468672
BA,8,67,6144,30.72,0.656371897523,0.145183108198,0.520532581454
ER,8,66,6437,32.185,0.174231886049,0.0805547102552,0.528859649123
WS,8,68,6400,32,0.0754219899134,0.388715456117,0.488631996658
BA,9,70,6144,30.72,0.663269447049,0.146627113348,0.521522556391
