topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,384,7.68,0.69995427058,0.130922693267,0.463080808081
ER,0,42,371,7.42,0.360712970229,0.0667883211679,0.444646464646
WS,0,44,400,8,0.13346347815,0.282464123206,0.424454545455
BA,1,46,384,7.68,0.719070731579,0.126161369193,0.463804713805
ER,1,45,386,7.72,0.288531726266,0.0812807881773,0.452491582492
WS,1,47,400,8,0.144697961285,0.347401464946,0.420158249158
BA,2,49,384,7.68,0.759881375519,0.126522961575,0.46930976431
ER,2,48,375,7.5,0.34486712417,0.0887445887446,0.445882154882
WS,2,50,400,8,0.158113883008,0.372916666667,0.411168350168
BA,3,52,384,7.68,0.784472520498,0.134931506849,0.468451178451
ER,3,51,380,7.6,0.351589189892,0.0837696335079,0.448703703704
WS,3,53,400,8,0.153093108924,0.332869565217,0.421215488216
BA,4,55,384,7.68,0.760996140508,0.136906154926,0.465875420875
ER,4,54,403,8.06,0.340601792053,0.0642458100559,0.459885521886
WS,4,56,400,8,0.16201851746,0.297503467406,0.425656565657
BA,5,58,384,7.68,0.776871410446,0.14085155351,0.468181818182
ER,5,57,410,8.2,0.369896363124,0.084407971864,0.462255892256
WS,5,59,400,8,0.138067012715,0.356518699755,0.414905723906
BA,6,61,384,7.68,0.797121761903,0.12975895472,0.469259259259
ER,6,60,411,8.22,0.361532944144,0.0968025814022,0.46137037037
WS,6,62,400,8,0.142521928137,0.335078534031,0.418188552189
BA,7,64,384,7.68,0.715999037985,0.132450331126,0.465084175084
ER,7,63,428,8.56,0.312298498229,0.080155858614,0.46898989899
WS,7,65,400,8,0.15612494996,0.335649756776,0.420683501684
BA,8,67,384,7.68,0.706703854908,0.120356612184,0.465134680135
ER,8,66,403,8.06,0.319136027426,0.0689546599496,0.461616161616
WS,8,68,400,8,0.12747548784,0.322931276297,0.422993265993
BA,9,70,384,7.68,0.754058032001,0.118811881188,0.46867003367
ER,9,69,407,8.14,0.31417943188,0.069594803588,0.462474747475
WS,9,71,400,8,0.158113883008,0.336458333333,0.418996632997
BA,10,73,384,7.68,0.697041584474,0.135067533767,0.462323232323
ER,10,72,360,7.2,0.37267799625,0.0752314814815,0.438521885522
WS,10,74,400,8,0.139194109071,0.340670859539,0.417525252525
BA,11,76,384,7.68,0.685019594331,0.137503165358,0.460673400673
ER,11,75,406,8.12,0.286858588405,0.0796963946869,0.461363636364
WS,11,77,400,8,0.158113883008,0.358333333333,0.413252525253
BA,12,79,384,7.68,0.737462113551,0.123770688414,0.46563973064
ER,12,78,410,8.2,0.355127311672,0.08086492891,0.46335016835
WS,12,80,400,8,0.140312152004,0.340551868669,0.421111111111
BA,13,82,384,7.68,0.712200305514,0.132972174341,0.464393939394
ER,13,81,394,7.88,0.388780794698,0.0896226415094,0.455084175084
WS,13,83,400,8,0.139194109071,0.375262054507,0.406067340067
BA,14,85,384,7.68,0.679802233292,0.129073319756,0.460016835017
ER,14,84,379,7.58,0.381072432377,0.0917210580557,0.449882154882
WS,14,86,400,8,0.145773797371,0.365062761506,0.41603030303
BA,15,88,384,7.68,0.729836002317,0.12330754352,0.466161616162
ER,15,87,428,8.56,0.364710570634,0.0862207896857,0.469696969697
WS,15,89,400,8,0.146841751556,0.374346462182,0.411080808081
BA,16,91,384,7.68,0.781006906624,0.138175985335,0.466784511785
ER,16,90,398,7.96,0.324169292436,0.0783113116339,0.455993265993
WS,16,92,400,8,0.159099025767,0.340506768483,0.418696969697
BA,17,94,384,7.68,0.715762207856,0.125858684985,0.46398989899
ER,17,93,379,7.58,0.35555497057,0.0766538326916,0.449074074074
WS,17,95,400,8,0.15612494996,0.322098679639,0.42032996633
BA,18,97,384,7.68,0.744554886605,0.129285714286,0.465656565657
ER,18,96,438,8.76,0.302509261645,0.0736,0.474444444444
WS,18,98,400,8,0.161051234084,0.332986472425,0.422599326599
BA,19,100,384,7.68,0.718834913462,0.128393250183,0.464595959596
ER,19,99,434,8.68,0.319222148108,0.10008071025,0.470286195286
WS,19,101,400,8,0.155120920575,0.337851929093,0.421784511785
BA,20,103,384,7.68,0.722833358552,0.129322942036,0.463569023569
ER,20,102,377,7.54,0.394512735665,0.0804676753783,0.449747474747
WS,20,104,400,8,0.148954691098,0.332288401254,0.422821548822
BA,21,106,384,7.68,0.719542135956,0.122434017595,0.46335016835
ER,21,105,359,7.18,0.375982662809,0.0696864111498,0.441195286195
WS,21,107,400,8,0.15103807467,0.344587539158,0.418185185185
BA,22,109,384,7.68,0.698499445737,0.125124875125,0.463838383838
ER,22,108,384,7.68,0.332416545239,0.0799031476998,0.451161616162
WS,22,110,400,8,0.17139136501,0.294402211472,0.424346801347
BA,23,112,384,7.68,0.77708961682,0.133225954901,0.467373737374
ER,23,111,420,8.4,0.342559394522,0.100511073254,0.463804713805
WS,23,113,400,8,0.146841751556,0.365981178111,0.412228956229
BA,24,115,384,7.68,0.784688613157,0.142433234421,0.468787878788
ER,24,114,401,8.02,0.353543496298,0.070873484613,0.457548821549
WS,24,116,400,8,0.140312152004,0.331121201537,0.418569023569
BA,25,118,384,7.68,0.729138764347,0.140091942899,0.46138047138
ER,25,117,401,8.02,0.325615509521,0.0722433460076,0.45867003367
WS,25,119,400,8,0.174104853465,0.296168450121,0.426915824916
BA,26,121,384,7.68,0.782091560625,0.120164797436,0.470303030303
ER,26,120,411,8.22,0.338269523115,0.0966010733453,0.46335016835
WS,26,122,400,8,0.152069063257,0.345511482255,0.416279461279
BA,27,124,384,7.68,0.794778696923,0.131436314363,0.469410774411
ER,27,123,415,8.3,0.351055476731,0.0859872611465,0.464242424242
WS,27,125,400,8,0.139194109071,0.327044025157,0.420774410774
BA,28,127,384,7.68,0.696554952666,0.127627627628,0.460909090909
ER,28,126,395,7.9,0.33562211604,0.0750731231719,0.458333333333
WS,28,128,400,8,0.144697961285,0.362050924311,0.413929292929
BA,29,130,384,7.68,0.741360101669,0.123268036312,0.466178451178
ER,29,129,422,8.44,0.309566116995,0.0861821315714,0.465831649832
WS,29,131,400,8,0.15,0.354108635097,0.412131313131
BA,30,133,384,7.68,0.746828508548,0.12541567696,0.467087542088
ER,30,132,366,7.32,0.356701287877,0.0621703089676,0.444097643098
WS,30,134,400,8,0.139194109071,0.368972746331,0.410996632997
BA,31,136,384,7.68,0.750903680112,0.13339640492,0.467306397306
ER,31,135,437,8.74,0.301686545989,0.085254691689,0.473787878788
WS,31,137,400,8,0.15103807467,0.382178907066,0.412703703704
BA,32,139,384,7.68,0.757646924924,0.131047440113,0.465488215488
ER,32,138,405,8.1,0.317406423017,0.072988147224,0.460235690236
WS,32,140,400,8,0.136930639376,0.353496503497,0.414636363636
BA,33,142,384,7.68,0.651270793014,0.11320754717,0.460471380471
ER,33,141,406,8.12,0.367102506839,0.0791604197901,0.461430976431
WS,33,143,400,8,0.147901994577,0.363763066202,0.414572390572
BA,34,145,384,7.68,0.825952010162,0.147476513,0.468956228956
ER,34,144,445,8.9,0.321944916447,0.0962812022415,0.475505050505
WS,34,146,400,8,0.13346347815,0.351767588379,0.413794612795
BA,35,148,384,7.68,0.690688628291,0.128398791541,0.461262626263
ER,35,147,417,8.34,0.317336055429,0.0853122251539,0.464158249158
WS,35,149,400,8,0.160078105936,0.310201249133,0.420346801347
BA,36,151,384,7.68,0.646830127939,0.127138720716,0.460269360269
ER,36,150,418,8.36,0.35464842986,0.080204778157,0.466734006734
WS,36,152,400,8,0.13346347815,0.337066853343,0.416138047138
BA,37,154,384,7.68,0.784904646323,0.130762209037,0.467845117845
ER,37,153,391,7.82,0.347572120311,0.0790513833992,0.454663299663
WS,37,155,400,8,0.140312152004,0.385609500524,0.407393939394
BA,38,157,384,7.68,0.764552465885,0.133597575192,0.465622895623
ER,38,156,415,8.3,0.34056130181,0.0883639545057,0.463114478114
WS,38,158,400,8,0.154110350074,0.339012517385,0.420013468013
BA,39,160,384,7.68,0.755181393198,0.133506004238,0.465286195286
ER,39,159,411,8.22,0.322593239083,0.0958119915637,0.459696969697
WS,39,161,400,8,0.136930639376,0.352447552448,0.416380471381
BA,40,163,384,7.68,0.637856058655,0.121115537849,0.459882154882
ER,40,162,382,7.64,0.336017989314,0.0816468946267,0.448060606061
WS,40,164,400,8,0.164886324478,0.342916522342,0.418858585859
BA,41,166,384,7.68,0.762109274891,0.12762973352,0.466784511785
ER,41,165,371,7.42,0.319597450249,0.0675929402929,0.44531986532
WS,41,167,400,8,0.145773797371,0.342050209205,0.412494949495
BA,42,169,384,7.68,0.731923731061,0.126658624849,0.465303030303
ER,42,168,401,8.02,0.337801697566,0.0839094908862,0.459575757576
WS,42,170,400,8,0.15612494996,0.318971507992,0.419178451178
BA,43,172,384,7.68,0.802421465524,0.131048387097,0.470286195286
ER,43,171,413,8.26,0.342261901045,0.088287227781,0.463148148148
WS,43,173,400,8,0.158113883008,0.294791666667,0.426565656566
BA,44,175,384,7.68,0.712200305514,0.130017237134,0.464461279461
ER,44,174,406,8.12,0.297754626273,0.076343072573,0.46101010101
WS,44,176,400,8,0.164886324478,0.323172843782,0.420218855219
BA,45,178,384,7.68,0.713151885631,0.135793357934,0.460101010101
ER,45,177,414,8.28,0.329017073404,0.0966026587888,0.462777777778
WS,45,179,400,8,0.157122563625,0.341785342133,0.421080808081
BA,46,181,384,7.68,0.771396190899,0.136111111111,0.467508417508
ER,46,180,424,8.48,0.305913591832,0.0863740022805,0.466784511785
WS,46,182,400,8,0.155120920575,0.332638164755,0.421865319865
BA,47,184,384,7.68,0.777307761939,0.12353347136,0.471043771044
ER,47,183,402,8.04,0.345099386833,0.0839813374806,0.458585858586
WS,47,185,400,8,0.160078105936,0.367453157529,0.41762962963
BA,48,187,384,7.68,0.74364349144,0.137988560534,0.465016835017
ER,48,186,385,7.7,0.32623004382,0.0704663212435,0.451212121212
WS,48,188,400,8,0.142521928137,0.315183246073,0.423033670034
BA,49,190,384,7.68,0.688229568702,0.119636547198,0.463737373737
ER,49,189,404,8.08,0.334240913909,0.073488372093,0.460437710438
WS,49,191,400,8,0.138067012715,0.326109751835,0.421111111111
