topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,5376,53.76,0.425195873074,0.356332002537,0.635075376884
ER,0,42,6408,64.08,0.104851727829,0.322326909385,0.661005025126
WS,0,44,6400,64,0.0513014223731,0.471247507903,0.660804020101
BA,1,46,5376,53.76,0.425041231941,0.357015462214,0.635075376884
ER,1,45,6333,63.33,0.103653579014,0.317084539338,0.659120603015
WS,1,47,6400,64,0.0558142846859,0.474888497711,0.660804020101
BA,2,49,5376,53.76,0.423589746793,0.357984470707,0.635075376884
ER,2,48,6312,63.12,0.104737343174,0.317939223955,0.658592964824
WS,2,50,6400,64,0.0555292363872,0.473783757723,0.660804020101
BA,3,52,5376,53.76,0.425533446438,0.358833474218,0.635075376884
ER,3,51,6375,63.75,0.103917868969,0.320429256713,0.660175879397
WS,3,53,6400,64,0.0511823104817,0.473999005622,0.660804020101
BA,4,55,5376,53.76,0.427087708155,0.360708180345,0.635067001675
ER,4,54,6349,63.49,0.0939104376814,0.317923378233,0.659522613065
WS,4,56,6400,64,0.0499511480098,0.475446660498,0.660804020101
BA,5,58,5376,53.76,0.433887431249,0.358556650407,0.635075376884
ER,5,57,6376,63.76,0.104967259326,0.320961750903,0.660201005025
WS,5,59,6400,64,0.0545534070316,0.479139209582,0.660804020101
BA,6,61,5376,53.76,0.419782507739,0.358475282978,0.635075376884
ER,6,60,6432,64.32,0.102715065773,0.321449133828,0.661608040201
WS,6,62,6400,64,0.0504375387237,0.483126444061,0.660804020101
BA,7,64,5376,53.76,0.420066776551,0.356222880981,0.635067001675
ER,7,63,6415,64.15,0.112050052243,0.322577107007,0.661180904523
WS,7,65,6400,64,0.0543291832835,0.47584252576,0.660804020101
BA,8,67,5376,53.76,0.424768438067,0.358980773354,0.635058626466
ER,8,66,6439,64.39,0.0942475463418,0.324532415849,0.661783919598
WS,8,68,6400,64,0.0525009300513,0.47742803509,0.660804020101
BA,9,70,5376,53.76,0.433528429445,0.360906860932,0.635075376884
ER,9,69,6398,63.98,0.0995411367215,0.322479987813,0.660753768844
WS,9,71,6400,64,0.0483870705225,0.471482758023,0.660804020101
BA,10,73,5376,53.76,0.439382956495,0.363145707266,0.635075376884
