topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,1184,7.89333333333,0.936088997826,0.057611155281,0.390448160535
ER,0,42,1168,7.78666666667,0.366730295946,0.0295081967213,0.361483091787
WS,0,44,1200,8,0.146486631927,0.322798047874,0.317596804162
BA,1,46,1184,7.89333333333,0.854959208325,0.0542253051424,0.384033816425
ER,1,45,1218,8.12,0.361691770951,0.0255869957857,0.366460795243
WS,1,47,1200,8,0.141789162726,0.353659955778,0.309913786696
BA,2,49,1184,7.89333333333,0.918258842319,0.0592818850517,0.387508732813
ER,2,48,1159,7.72666666667,0.341077428905,0.0220638153428,0.358537346711
WS,2,50,1200,8,0.151382517705,0.338979118329,0.314527313266
BA,3,52,1184,7.89333333333,0.97340910247,0.063113357231,0.390935340022
ER,3,51,1225,8.16666666667,0.353314760919,0.026924611089,0.368455221107
WS,3,53,1200,8,0.160403137958,0.325777726379,0.317225938313
BA,4,55,1184,7.89333333333,0.922154200116,0.0573592401763,0.388672240802
ER,4,54,1168,7.78666666667,0.341421782068,0.0220318237454,0.361734671126
WS,4,56,1200,8,0.147901994577,0.336236933798,0.314798959495
BA,5,58,1184,7.89333333333,0.890934811012,0.0629653401797,0.385623931624
ER,5,57,1207,8.04666666667,0.32859312426,0.0257483776429,0.367124117428
WS,5,59,1200,8,0.143614066163,0.341939986043,0.314471200297
BA,6,61,1184,7.89333333333,0.953305259182,0.0589012308616,0.390371609067
ER,6,60,1234,8.22666666667,0.336469663316,0.0298003377372,0.369519881085
WS,6,62,1200,8,0.147901994577,0.335540069686,0.313977703456
BA,7,64,1184,7.89333333333,0.881092318522,0.0558474411364,0.386923076923
ER,7,63,1235,8.23333333333,0.326934044263,0.022754491018,0.369707915273
WS,7,65,1200,8,0.15103807467,0.30699617125,0.319503530286
BA,8,67,1184,7.89333333333,0.872120706161,0.0573673870334,0.38536231884
ER,8,66,1209,8.06,0.344198341724,0.0256965944272,0.366531772575
WS,8,68,1200,8,0.153432938663,0.333178761883,0.315833890747
BA,9,70,1184,7.89333333333,0.950607631451,0.0547359547179,0.391699739873
ER,9,69,1200,8,0.33896287899,0.0274650110491,0.365628762542
WS,9,71,1200,8,0.154784796842,0.310428736964,0.321113340765
BA,10,73,1184,7.89333333333,0.858331697036,0.0586163354822,0.384883314753
ER,10,72,1130,7.53333333333,0.358543620883,0.0276041052259,0.356811222594
WS,10,74,1200,8,0.146130649306,0.346542707728,0.313801932367
BA,11,76,1184,7.89333333333,0.856647112304,0.0593209054594,0.383984764028
ER,11,75,1205,8.03333333333,0.34088090288,0.025625,0.366195837978
